fips,county,rate,< 95% CI,> 95% CI,CI*rank,< CI*rank,> CI*rank,avg annual count,recent trend,recent 5y trend,< 95% CI v2,> 95% CI v2,normalized count
30025,"Fallon County, Montana(6)",242.6,144.6,382.0,,1.0,33.0,4.0,*,,,,1.3862943611198906
40055,"Greer County, Oklahoma(6)",234.0,163.6,326.4,,1.0,20.0,8.0,stable,39.4,-12.0,120.8,2.0794415416798357
19133,"Monona County, Iowa(7)",220.3,165.2,288.6,,1.0,37.0,14.0,rising,2.1,0.2,4.1,2.6390573296152584
29205,"Shelby County, Missouri(6)",214.1,149.9,297.6,,1.0,69.0,9.0,stable,4.0,-0.9,9.0,2.1972245773362196
13301,"Warren County, Georgia(7)",212.9,147.5,298.9,,1.0,100.0,8.0,*,,,,2.0794415416798357
1107,"Pickens County, Alabama(6)",212.5,175.4,255.3,,1.0,6.0,26.0,rising,5.7,2.2,9.3,3.258096538021482
31137,"Phelps County, Nebraska(6)",200.2,149.7,263.1,,1.0,33.0,12.0,stable,1.8,-4.1,8.0,2.4849066497880004
51830,"Williamsburg City, Virginia(6)",196.4,151.1,251.9,,1.0,83.0,15.0,stable,1.3,-1.9,4.6,2.70805020110221
25019,"Nantucket County, Massachusetts(7)",192.2,145.1,250.1,,1.0,9.0,12.0,stable,0.3,-1.8,2.5,2.4849066497880004
12125,"Union County, Florida(6)",190.2,141.5,250.1,,1.0,38.0,11.0,stable,1.6,-2.2,5.5,2.3978952727983707
19129,"Mills County, Iowa(7)",183.7,146.4,228.3,,1.0,45.0,18.0,stable,0.3,-1.2,1.8,2.8903717578961645
5077,"Lee County, Arkansas(6)",181.1,131.1,244.8,,1.0,52.0,10.0,rising,15.9,7.8,24.6,2.302585092994046
46077,"Kingsbury County, South Dakota(6)",180.9,121.8,262.3,,1.0,36.0,7.0,stable,3.8,-1.3,9.2,1.9459101490553132
29079,"Grundy County, Missouri(6)",178.5,131.6,236.7,,1.0,76.0,12.0,stable,4.0,-1.1,9.4,2.4849066497880004
40141,"Tillman County, Oklahoma(6)",174.3,123.1,240.6,,1.0,57.0,9.0,stable,3.5,-2.2,9.5,2.1972245773362196
19085,"Harrison County, Iowa(7)",173.7,137.0,217.9,,1.0,65.0,17.0,stable,1.2,-0.1,2.4,2.833213344056216
35057,"Torrance County, New Mexico(7)",173.4,135.6,219.0,,1.0,10.0,17.0,rising,2.5,0.5,4.6,2.833213344056216
35019,"Guadalupe County, New Mexico(7)",173.4,101.9,277.0,,1.0,29.0,4.0,*,,,,1.3862943611198906
17187,"Warren County, Illinois(6)",173.1,136.3,216.8,,1.0,80.0,17.0,stable,2.9,-1.1,7.1,2.833213344056216
51057,"Essex County, Virginia(6)",172.6,132.0,222.7,,1.0,108.0,14.0,rising,4.7,0.6,9.0,2.6390573296152584
16073,"Owyhee County, Idaho(7)",171.8,129.0,224.8,,1.0,24.0,12.0,rising,4.2,0.4,8.2,2.4849066497880004
38019,"Cavalier County, North Dakota(6)",170.5,89.7,291.6,,1.0,30.0,4.0,stable,-0.6,-6.9,6.1,1.3862943611198906
1011,"Bullock County, Alabama(6)",170.3,122.8,230.2,,1.0,61.0,10.0,stable,2.1,-0.7,5.1,2.302585092994046
30087,"Rosebud County, Montana(6)",169.7,121.3,231.4,,1.0,35.0,9.0,stable,4.3,-1.3,10.2,2.1972245773362196
17171,"Scott County, Illinois(6)",169.5,115.9,243.3,,1.0,99.0,7.0,stable,1.1,-4.2,6.6,1.9459101490553132
30095,"Stillwater County, Montana(6)",168.2,124.4,224.3,,1.0,29.0,11.0,stable,1.4,-3.3,6.4,2.3978952727983707
22093,"St. James Parish, Louisiana(7)",167.6,137.7,202.5,,1.0,32.0,24.0,rising,3.9,1.7,6.3,3.1780538303479458
17053,"Ford County, Illinois(6)",167.6,131.3,211.8,,1.0,83.0,16.0,stable,2.2,-0.8,5.3,2.772588722239781
38081,"Sargent County, North Dakota(6)",167.5,96.3,272.8,,1.0,30.0,4.0,stable,3.9,-3.5,11.8,1.3862943611198906
29053,"Cooper County, Missouri(6)",167.5,132.8,208.8,,1.0,64.0,18.0,stable,2.1,-1.1,5.4,2.8903717578961645
55085,"Oneida County, Wisconsin(6)",167.3,144.2,193.5,,1.0,30.0,47.0,stable,1.6,-0.3,3.4,3.8501476017100584
17061,"Greene County, Illinois(6)",167.0,131.4,210.4,,1.0,80.0,16.0,rising,5.2,1.1,9.5,2.772588722239781
19147,"Palo Alto County, Iowa(7)",167.0,118.6,228.8,,1.0,89.0,9.0,stable,0.3,-1.5,2.2,2.1972245773362196
